scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source,asset_type,flow,regime
2026-08-21T07:32:10.698541+09:00,2026-08-21,NVDA,NVIDIA Corporation,US,반도체,2026-08-20,216.85,92250395,117369324.75,6.2971,5252323999744,87,65,71,58,69,2,WATCH,0.74,9,False,live,,48,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,AAPL,Apple Inc.,US,IT,2026-08-20,311.3,40891451,53046792.55,6.6621,4543167856640,43,60,68,42,58,1,HOLD,0.33,4,False,live,,84,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,GOOGL,Alphabet Inc.,US,인터넷,2026-08-20,340.67,18535291,27246214.55,9.3468,4166372032512,25,65,68,68,50,0,HOLD,-0.32,-4,False,live,,41,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,GOOG,Alphabet Inc.,US,인터넷,2026-08-20,338.2,14165362,18341933.1,8.7656,4136164130816,25,65,60,68,47,0,HOLD,-0.4,-5,False,live,,41,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,MSFT,Microsoft Corporation,US,IT,2026-08-20,481.15,20003604,36909795.2,11.9079,3572801208320,62,60,50,50,59,1,HOLD,0.54,6,False,live,,75,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,AMZN,"Amazon.com, Inc.",US,소비재,2026-08-20,260.11,28294255,47936902.75,7.2136,2805627879424,58,60,60,50,58,0,HOLD,0.25,3,False,live,,61,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,TSM,Taiwan Semiconductor Manufacturing Compa,US,반도체,2026-08-20,416.0,10437483,12297669.15,11.2365,2157573177344,72,65,77,66,64,2,WATCH,0.56,7,False,live,,33,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,AVGO,Broadcom Inc.,US,반도체,2026-08-20,364.03,19689176,19737103.8,15.5028,1731901915136,43,65,60,43,47,0,HOLD,-0.26,-3,False,live,,39,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,META,"Meta Platforms, Inc.",US,인터넷,2026-08-20,545.83,13836762,17241038.1,19.1756,1390505361408,31,65,50,66,45,0,HOLD,-0.42,-5,False,live,,39,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,TSLA,"Tesla, Inc.",US,소비재,2026-08-20,345.13,30691906,35259730.3,10.9979,1363107381248,52,60,70,30,53,1,HOLD,-0.02,0,False,live,,52,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,LLY,Eli Lilly and Company,US,제약/바이오,2026-08-20,1244.4,2617540,2828822.0,45.906,1109204795392,91,65,71,42,68,2,WATCH,1.0,12,False,live,,55,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,MU,"Micron Technology, Inc.",US,반도체,2026-08-20,974.33,25022451,40168027.55,58.705,1100401606656,70,65,65,58,62,1,HOLD,0.64,8,False,live,,47,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,JPM,JPMorgan Chase & Co.,US,금융,2026-08-20,351.55,6794901,6185760.05,5.6064,934485360640,47,60,81,60,64,1,HOLD,0.64,8,False,live,,67,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,WMT,Walmart Inc.,US,소매,2026-08-20,103.84,83474981,25022709.05,2.9429,826366885888,28,60,50,37,38,0,AVOID,-0.65,-8,True,live,,35,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,AMD,"Advanced Micro Devices, Inc.",US,반도체,2026-08-20,469.455,15144568,27188708.4,24.8486,766373527552,28,65,65,35,41,0,AVOID,-0.27,-3,True,live,,32,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,XOM,Exxon Mobil Corporation,US,에너지,2026-08-20,166.15,13794558,14170367.9,3.7058,683194122240,78,60,40,58,63,2,WATCH,0.61,7,False,live,,78,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,V,Visa Inc.,US,금융,2026-08-20,365.73,6149558,7266042.9,6.5105,682835247104,62,60,71,50,64,2,WATCH,0.68,8,False,live,,71,NEUTRAL
