scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source,asset_type
2026-08-22T14:16:29.538665+09:00,2026-08-22,NVDA,NVIDIA Corporation,US,반도체,2026-08-21,214.72,98545600,116565095.0,5.7507,5200733011968,65,65,71,58,66,1,HOLD,0.56,7,False,live,STOCK
2026-08-22T14:16:29.538665+09:00,2026-08-22,AAPL,Apple Inc.,US,IT,2026-08-21,309.35,46768100,53014115.0,6.3862,4514709504000,50,60,58,42,53,0,HOLD,0.13,2,False,live,STOCK
2026-08-22T14:16:29.538665+09:00,2026-08-22,GOOGL,Alphabet Inc.,US,인터넷,2026-08-21,344.82,20803700,26697825.0,8.2921,4217126256640,17,65,68,68,50,0,HOLD,-0.24,-3,False,live,STOCK
2026-08-22T14:16:29.538665+09:00,2026-08-22,GOOG,Alphabet Inc.,US,인터넷,2026-08-21,341.75,15336300,18028325.0,7.7678,4179580420096,17,65,60,68,47,0,HOLD,-0.32,-4,False,live,STOCK
2026-08-22T14:16:29.538665+09:00,2026-08-22,MSFT,Microsoft Corporation,US,IT,2026-08-21,483.24,22489200,36652145.0,10.5147,3588320657408,55,60,50,50,54,0,HOLD,0.34,4,False,live,STOCK
2026-08-22T14:16:29.538665+09:00,2026-08-22,AMZN,"Amazon.com, Inc.",US,소비재,2026-08-21,258.63,35652900,47972670.0,6.3871,2789664358400,32,60,60,50,49,0,HOLD,-0.12,-1,False,live,STOCK
2026-08-22T14:16:29.538665+09:00,2026-08-22,TSM,Taiwan Semiconductor Manufacturing Compa,US,반도체,2026-08-21,418.95,8936800,12168775.0,11.2679,2172873342976,72,65,77,66,71,2,WATCH,0.8,10,False,live,STOCK
2026-08-22T14:16:29.538665+09:00,2026-08-22,AVGO,Broadcom Inc.,US,반도체,2026-08-21,368.45,19000300,19931680.0,15.01,1752930451456,43,65,60,43,52,0,HOLD,-0.06,-1,False,live,STOCK
2026-08-22T14:16:29.538665+09:00,2026-08-22,TSLA,"Tesla, Inc.",US,소비재,2026-08-21,362.86,58979800,35074445.0,11.5086,1433132728320,59,60,70,30,58,1,HOLD,0.14,2,False,live,STOCK
2026-08-22T14:16:29.538665+09:00,2026-08-22,META,"Meta Platforms, Inc.",US,인터넷,2026-08-21,549.9,13663800,17350825.0,17.0207,1400873680896,28,65,50,66,48,0,HOLD,-0.28,-3,False,live,STOCK
